optimizer,lr,batch size,num iteration,duration,train loss,train accuracy,test loss,test accuracy,sharpness train,non uniformity train,sharpness test,non uniformity test
adagrad,0.025,1000,1400,95,8e-05,100.0,2.03149,81.9,1.1,12.5,0,0
adagrad,0.075,1000,19999,1427,0.00554,99.7,3.2492,74.3,14.9,114.5,0,0
adagrad,0.01,1000,1400,100,7e-05,100.0,1.52749,83.1,0.3,4.0,0,0
adagrad,0.075,1000,19999,1373,0.0001,100.0,2.48964,77.9,6.2,54.3,0,0
adagrad,0.05,1000,7000,494,0.0001,100.0,2.23312,81.3,2.6,21.4,0,0
adagrad,0.01,1000,1600,117,8e-05,100.0,1.4073799999999999,83.5,0.5,5.1,0,0
adagrad,0.025,1000,1400,98,8e-05,100.0,1.64903,82.9,0.5,4.9,0,0
adagrad,0.075,100,800,127,7e-05,100.0,2.12701,81.1,1.1,10.2,0,0
adagrad,0.01,100,400,58,5e-05,100.0,1.44807,83.1,0.3,2.4,0,0
adagrad,0.05,100,400,57,5.9999999999999995e-05,100.0,1.86086,82.2,0.4,4.4,0,0
adagrad,0.05,100,1000,145,8e-05,100.0,2.08243,81.4,0.9,7.2,0,0
adagrad,0.1,100,2400,356,9e-05,100.0,3.0351,78.4,1.9,18.7,0,0
adagrad,0.025,100,400,58,4e-05,100.0,1.94027,82.6,0.2,1.8,0,0
adagrad,0.01,100,400,58,5.9999999999999995e-05,100.0,1.46089,83.0,0.3,2.8,0,0
adagrad,0.1,100,1000,149,0.0001,100.0,2.37734,79.9,1.3,10.6,0,0
adagrad,0.075,100,800,132,0.0001,100.0,1.99646,80.5,0.6,5.5,0,0
adagrad,0.025,100,400,58,6e-05,100.0,1.81362,82.3,0.4,3.6,0,0
adagrad,0.075,5,400,818,2.9999999999999997e-05,100.0,2.19044,81.3,0.2,1.8,0,0
adagrad,0.01,5,200,411,6e-05,100.0,1.74371,82.8,0.3,3.5,0,0
adagrad,0.05,5,200,409,8e-05,100.0,2.18321,82.1,0.4,5.1,0,0
adagrad,0.05,5,200,402,6e-05,100.0,1.91699,82.2,0.1,1.6,0,0
adagrad,0.1,5,400,806,4e-05,100.0,2.62585,81.3,0.2,2.3,0,0
adagrad,0.025,5,200,390,4e-05,100.0,1.95013,83.0,0.2,1.7,0,0
adagrad,0.01,5,200,397,9e-05,100.0,1.5790799999999998,83.1,0.6,6.4,0,0
adagrad,0.1,5,400,791,5e-05,100.0,2.13292,81.1,0.2,1.7,0,0
adagrad,0.075,5,200,414,5e-05,100.0,2.2473799999999997,81.8,0.2,3.0,0,0
adagrad,0.025,5,200,414,6e-05,100.0,1.89172,82.9,0.2,2.2,0,0
adagrad,0.075,10,200,195,5e-05,100.0,2.19997,82.6,0.2,3.2,0,0
adagrad,0.01,10,200,196,7e-05,100.0,1.65828,83.0,0.4,4.2,0,0
adagrad,0.05,10,200,204,2.9999999999999997e-05,100.0,2.10091,82.7,0.1,1.4,0,0
adagrad,0.05,10,400,409,3e-05,100.0,2.33171,82.7,0.1,1.6,0,0
adagrad,0.1,10,400,411,9e-05,100.0,2.26821,80.8,0.7,8.3,0,0
adagrad,0.025,10,400,417,3e-05,100.0,1.95192,83.1,0.1,1.4,0,0
adagrad,0.01,10,200,201,9e-05,100.0,1.58856,83.1,0.6,5.8,0,0
adagrad,0.1,10,400,405,6e-05,100.0,2.67999,81.9,0.3,2.8,0,0
adagrad,0.075,10,400,404,4e-05,100.0,2.05993,82.2,0.1,1.2,0,0
adagrad,0.025,10,200,206,5e-05,100.0,2.05734,83.0,0.2,1.7,0,0
adagrad,0.075,25,400,173,2.9999999999999997e-05,100.0,1.93975,81.8,0.2,1.7,0,0
adagrad,0.01,25,400,175,4e-05,100.0,1.58833,83.4,0.3,2.6,0,0
adagrad,0.05,25,400,167,4e-05,100.0,1.85315,82.4,0.2,2.4,0,0
adagrad,0.05,25,200,94,6e-05,100.0,1.7838599999999998,82.4,0.2,2.5,0,0
adagrad,0.1,25,400,168,0.0001,100.0,2.0887,81.5,0.6,6.2,0,0
adagrad,0.025,25,400,179,3e-05,100.0,1.9336,82.2,0.2,2.4,0,0
adagrad,0.01,25,400,176,4e-05,100.0,1.59829,83.2,0.2,2.4,0,0
adagrad,0.1,25,800,344,8e-05,100.0,2.36958,80.9,0.9,9.5,0,0
adagrad,0.075,25,400,164,0.0001,100.0,1.8888,81.9,0.9,11.1,0,0
adagrad,0.025,25,200,88,7e-05,100.0,1.57685,83.1,0.3,2.5,0,0
adagrad,0.075,50,400,95,8e-05,100.0,1.8245099999999999,82.2,0.4,3.6,0,0
adagrad,0.01,50,400,107,4e-05,100.0,1.47307,83.5,0.2,1.9,0,0
adagrad,0.05,50,400,102,9e-05,100.0,1.9969700000000001,82.0,0.5,4.7,0,0
adagrad,0.05,50,600,152,7e-05,100.0,2.0992900000000003,81.8,0.7,5.7,0,0
adagrad,0.1,50,800,519,9e-05,100.0,2.34928,80.0,1.3,9.4,0,0
adagrad,0.025,50,400,267,4e-05,100.0,1.82977,83.3,0.2,1.8,0,0
adagrad,0.01,50,400,307,4e-05,100.0,1.5782200000000002,83.3,0.2,2.3,0,0
adagrad,0.1,50,600,183,8e-05,100.0,2.2581900000000004,79.9,0.6,4.5,0,0
adagrad,0.075,50,600,160,7e-05,100.0,2.06199,81.7,0.7,5.6,0,0
adagrad,0.025,50,200,55,7e-05,100.0,1.72265,83.1,0.3,3.3,0,0
