optimizer,lr,batch size,num iteration,duration,train loss,train accuracy,test loss,test accuracy,sharpness train,non uniformity train,sharpness test,non uniformity test
adagrad,0.1,1000,9999,1050,0.06858,98.1,3.42843,73.1,11,68,0,0
sgd,0.1,10,99,110,0.00345,100,1.19608,82.6,2,25,0,0
adagrad,0.1,10,99,167,0.00116,100,1.74302,81,1,14,0,0
sgd,0.05,25,170,72,0.00096,100,1.18224,82.1,3,30,0,0
sgd,0.01,25,249,235,0.02773,99.6,0.98639,80.6,133,775,0,0
adagrad,0.01,25,210,83,9.00E-05,100,1.4855,83.3,0,4,0,0
sgd,0.05,25,249,92,0.00037,100,1.34108,82.8,1,10,0,0
adagrad,0.05,25,249,98,0.00011,100,1.86814,82.2,0,4,0,0
sgd,0.1,25,249,67,0.00014,100,1.39476,82.7,0,3,0,0
adagrad,0.1,25,249,97,0.00028,100,1.87289,80.7,2,21,0,0
adagrad,0.001,25,249,95,0.04209,99.5,0.70934,82.3,91,400,0,0
sgd,0.001,25,249,70,0.80751,71,0.85206,67.5,64,123,0,0
adagrad,0.01,5,49,89,0.0184,99.4,1.17082,82.4,30,415,0,0
sgd,0.01,5,49,49,0.21754,92.7,0.91049,78.8,53,338,0,0
sgd,0.05,5,49,56,0.09367,96.7,0.88278,81.1,5,40,0,0
adagrad,0.05,5,49,88,0.20885,95.2,1.67917,79.4,22,232,0,0
sgd,0.1,5,49,55,0.17479,94.9,0.75811,80,4,46,0,0
adagrad,0.1,5,49,88,0.13486,95.6,1.27675,79.9,31,246,0,0
adagrad,0.001,5,49,83,0.23243,92.8,0.54156,81.5,132,329,0,0
sgd,0.001,5,49,50,0.8347,69.3,0.87487,66.6,51,97,0,0
adagrad,0.01,100,280,37,0.0001,100,1.44761,83.4,1,5,0,0
sgd,0.01,100,999,99,0.01375,100,1.05116,80.8,114,610,0,0
adagrad,0.05,100,560,73,9.00E-05,100,2.062,81.3,1,8,0,0
sgd,0.05,100,999,100,0.00043,100,1.39073,82.2,3,15,0,0
sgd,0.1,100,999,100,0.00015,100,1.35815,82.6,1,5,0,0
adagrad,0.1,100,999,131,0.00036,100,2.05932,80.2,9,75,0,0
sgd,0.001,100,999,100,0.81054,72.2,0.85348,68.5,63,119,0,0
adagrad,0.001,100,999,127,0.00287,100,1.04027,82.4,23,121,0,0
sgd,0.01,10,99,52,0.13045,95.9,0.94278,80.2,96,495,0,0
adagrad,0.01,10,99,88,0.00037,100,1.44495,83.4,2,20,0,0
sgd,0.05,10,99,53,0.00142,100,1.2847,82.5,3,45,0,0
adagrad,0.05,10,99,88,0.00018,100,1.75208,82.8,1,9,0,0
sgd,0.1,10,99,52,0.08876,96.8,1.04356,80.5,7,61,0,0
adagrad,0.1,10,99,88,0.00204,100,1.77172,80.5,5,56,0,0
sgd,0.001,10,99,52,0.81724,71.1,0.86004,67.7,59,109,0,0
adagrad,0.001,10,99,84,0.14975,96,0.55836,82.1,121,359,0,0
adagrad,0.01,1000,1600,105,8.00E-05,100,1.36398,83.4,0,5,0,0
gd,0.01,1000,9999,625,0.01182,100,1.03371,81,120,520,0,0
lbfgs,0.01,1000,400,1003,0,100,6.53963,79.9,1,9,0,0
gd,0.05,1000,9999,634,0.00045,100,1.36827,81.9,3,16,0,0
adagrad,0.1,5,318,591,0.0001,100,2.63148,81.2,1,5,0,0
sgd,0.1,5,176,188,9.00E-05,100,1.44336,82.8,0,0,0,0
sgd,0.05,5,150,193,0.0001,100,1.65064,82.2,0,1,0,0
adagrad,0.05,5,154,337,0.0001,100,1.92768,82.4,0,4,0,0
sgd,0.01,5,614,792,0.0001,100,1.70577,81.7,1,5,0,0
adagrad,0.01,5,156,340,0.0001,100,1.63645,82.7,1,7,0,0
sgd,0.001,5,7224,9402,0.0001,100,1.84735,80.9,2,9,0,0
adagrad,0.001,5,5804,12539,0.0001,100,1.49273,82.7,1,7,0,0
adagrad,0.1,25,470,187,0.0001,100,1.92517,80.9,0,4,0,0
sgd,0.1,25,280,78,0.0001,100,1.47969,83,0,2,0,0
sgd,0.05,25,620,171,0.0001,100,1.5084,82.7,0,3,0,0
adagrad,0.05,25,320,130,0.0001,100,1.98605,82.2,0,3,0,0
adagrad,0.01,25,170,74,9.00E-05,100,1.52453,83.3,1,8,0,0
sgd,0.01,25,3480,945,0.0001,100,1.79273,81,2,7,0,0
sgd,0.001,5,49,54,0.82589,69.9,0.86252,66.3,48,95,0,0
adagrad,0.001,5,49,94,0.23148,92.7,0.54618,81.5,139,338,0,0
adagrad,0.01,5,49,104,0.00806,99.6,1.23445,82.6,27,301,0,0
sgd,0.01,5,49,56,0.17171,94.2,0.86207,79.5,55,331,0,0
gd,0.05,1000,9999,1282,0.00045,100,1.41462,81.7,3,18,0,0
lbfgs,0.05,1000,200,477,1.00E-05,100,6.88289,79.7,9,79,0,0
adagrad,0.05,1000,9999,1468,0.25581,86.1,2.17763,70.2,23,520,0,0
adagrad,0.001,1000,9999,1360,0.00034,100,1.28643,82.2,3,19,0,0
sgd,0.1,5,200,190,3.00E-05,100,1.71445,82.6,0,0,0,0
adagrad,0.1,5,400,835,5.00E-05,100,2.35578,80.9,0,1,0,0
sgd,0.05,5,200,199,5.00E-05,100,1.66071,82.8,0,1,0,0
adagrad,0.05,5,200,392,8.00E-05,100,1.77036,82.7,0,3,0,0
sgd,0.001,5,7000,6495,0.0001,100,1.90124,80.5,2,9,0,0
